"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 17 08:27:09 GMT 2023","Fri Mar 17 08:27:12 GMT 2023","2268","","Login or Logout","","","","User logout",""
"passed","Fri Mar 17 08:27:35 GMT 2023","Fri Mar 17 08:27:38 GMT 2023","3266","","Retirer un produit au panier","","","","passes",""
"broken","Fri Mar 17 10:27:36 GMT 2023","Fri Mar 17 10:27:36 GMT 2023","0","","cypress/e2e/vide_panier.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/vide_panier.cy.js",""
"passed","Fri Mar 17 08:26:57 GMT 2023","Fri Mar 17 08:27:00 GMT 2023","2143","","login reg","","","","Login",""
"passed","Fri Mar 17 08:26:08 GMT 2023","Fri Mar 17 08:26:17 GMT 2023","8995","","Achat depuis la liste des souhaits reg","","","","passes",""
"failed","Fri Mar 17 08:27:19 GMT 2023","Fri Mar 17 08:27:28 GMT 2023","9015","","modifier la quantite reg","","","","passes",""
"passed","Fri Mar 17 08:26:25 GMT 2023","Fri Mar 17 08:26:29 GMT 2023","4384","","Ajout a la liste de souhaits","","","","passes",""
"passed","Fri Mar 17 08:27:07 GMT 2023","Fri Mar 17 08:27:09 GMT 2023","2588","","Login or Logout","","","","User login log",""
"passed","Fri Mar 17 08:27:45 GMT 2023","Fri Mar 17 08:27:47 GMT 2023","1955","","Recherhe panier reg","","","","Recherche",""
"failed","Fri Mar 17 08:27:55 GMT 2023","Fri Mar 17 08:28:01 GMT 2023","5617","","My First Test","","","","Add to cart",""
"passed","Fri Mar 17 08:26:41 GMT 2023","Fri Mar 17 08:26:43 GMT 2023","2137","","filtre reg","","","","passes",""
"failed","Fri Mar 17 08:28:08 GMT 2023","Fri Mar 17 08:28:16 GMT 2023","7990","","My User Registration log","","","","User Register",""
"failed","Fri Mar 17 08:26:36 GMT 2023","Fri Mar 17 08:26:36 GMT 2023","315","","","","","","An uncaught error was detected outside of a test",""
"failed","Fri Mar 17 08:26:50 GMT 2023","Fri Mar 17 08:26:57 GMT 2023","7761","","login reg","","","","Register",""
